account_id,customer_id,account_type,balance,account_status
ACC_000045,CUST_00022,Current,3987957,Dormant
ACC_000046,CUST_00023,Salary,4427448,Dormant
ACC_000047,CUST_00024,Current,4524943,Active
ACC_000048,CUST_00024,Current,2615865,Active
ACC_000049,CUST_00025,Salary,3676049,Dormant
ACC_000050,CUST_00025,Business,1016056,Active
ACC_000051,CUST_00025,Savings,2837067,Active
ACC_000052,CUST_00026,Current,4937193,Active
ACC_000053,CUST_00026,Savings,494868,Active
ACC_000054,CUST_00026,Savings,2772835,Active
ACC_000055,CUST_00027,Salary,4072951,Active
ACC_000056,CUST_00028,Business,2039408,Active
ACC_000057,CUST_00029,Current,792262,Active
ACC_000058,CUST_00029,Business,2973063,Active
ACC_000059,CUST_00030,Savings,826588,Active
ACC_000060,CUST_00030,Salary,917615,Active
ACC_000061,CUST_00031,Business,1176934,Active
ACC_000062,CUST_00032,Business,2096528,Dormant
ACC_000063,CUST_00032,Savings,3718250,Active
ACC_000064,CUST_00033,Savings,425365,Active
ACC_000065,CUST_00033,Savings,783344,Dormant
ACC_000066,CUST_00033,Current,1396118,Active
ACC_000067,CUST_00034,Current,3365169,Dormant
ACC_000068,CUST_00034,Current,3180056,Active
ACC_000069,CUST_00035,Salary,3817886,Active
ACC_000070,CUST_00035,Business,1299529,Active
ACC_000071,CUST_00036,Savings,4859516,Active
ACC_000072,CUST_00037,Salary,480537,Active
ACC_000073,CUST_00038,Current,478140,Closed
ACC_000074,CUST_00038,Savings,1559812,Active
ACC_000075,CUST_00039,Current,3388114,Active
ACC_000076,CUST_00040,Current,4857325,Active
ACC_000077,CUST_00040,Savings,3517713,Active
ACC_000078,CUST_00040,Salary,2188461,Active
ACC_000079,CUST_00041,Salary,2003242,Active
ACC_000080,CUST_00041,Current,2517557,Active
ACC_000081,CUST_00041,Savings,79143,Active
ACC_000082,CUST_00042,Savings,615555,Active
ACC_000083,CUST_00042,Salary,1112126,Dormant
ACC_000084,CUST_00042,Savings,2050206,Active
ACC_000085,CUST_00043,Business,4557842,Active
ACC_000086,CUST_00044,Savings,4653341,Active
ACC_000087,CUST_00044,Savings,1127515,Active
ACC_000088,CUST_00044,Savings,4641776,Active
ACC_000089,CUST_00045,Current,2877288,Active
ACC_000090,CUST_00045,Salary,4240678,Active
ACC_000091,CUST_00046,Savings,3554211,Active
ACC_000092,CUST_00047,Savings,2799075,Active
ACC_000093,CUST_00048,Salary,1356447,Active
ACC_000094,CUST_00048,Business,4706227,Active
ACC_000095,CUST_00048,Savings,1251357,Active
ACC_000096,CUST_00049,Current,3606312,Active
ACC_000097,CUST_00049,Salary,3059918,Dormant
ACC_000098,CUST_00050,Salary,1763249,Active
ACC_000099,CUST_00051,Savings,2967871,Active
ACC_000100,CUST_00051,Business,1297487,Dormant
ACC_000101,CUST_00051,Current,1364163,Closed
ACC_000102,CUST_00052,Business,208923,Active
ACC_000103,CUST_00053,Business,2082777,Active
ACC_000104,CUST_00053,Savings,3209992,Dormant
ACC_000105,CUST_00054,Current,1675138,Active
ACC_000106,CUST_00054,Business,2934147,Active
ACC_000107,CUST_00055,Current,199511,Active
ACC_000108,CUST_00056,Salary,2338091,Dormant
ACC_000109,CUST_00056,Salary,2946627,Active
ACC_000110,CUST_00057,Salary,232530,Active
ACC_000111,CUST_00057,Salary,1498935,Active
ACC_000112,CUST_00058,Savings,910346,Active
ACC_000113,CUST_00058,Salary,2632316,Active
ACC_000114,CUST_00059,Savings,3232253,Dormant
ACC_000115,CUST_00059,Current,2137767,Active
ACC_000116,CUST_00059,Business,15187,Active
ACC_000117,CUST_00060,Current,3056311,Active
ACC_000118,CUST_00060,Salary,2634315,Active
ACC_000119,CUST_00060,Savings,2520285,Active
ACC_000120,CUST_00061,Business,2737220,Active
ACC_000121,CUST_00061,Salary,4651748,Active
ACC_000122,CUST_00061,Business,3181501,Active
ACC_000123,CUST_00062,Salary,3407405,Active
ACC_000124,CUST_00063,Salary,2407806,Active
ACC_000125,CUST_00064,Salary,3901603,Active
ACC_000126,CUST_00064,Current,4289038,Active
ACC_000127,CUST_00064,Current,712316,Active
ACC_000128,CUST_00065,Salary,784388,Active
ACC_000129,CUST_00065,Current,2604987,Active
ACC_000130,CUST_00065,Current,1237094,Active
ACC_000131,CUST_00066,Business,611927,Active
ACC_000132,CUST_00067,Current,3222044,Active
ACC_000133,CUST_00067,Current,1238918,Active
ACC_000134,CUST_00067,Savings,895119,Active
ACC_000135,CUST_00068,Current,4345944,Active
ACC_000136,CUST_00069,Current,1019029,Active
ACC_000137,CUST_00069,Business,4456457,Closed
ACC_000138,CUST_00069,Salary,3713574,Active
ACC_000139,CUST_00070,Business,4596883,Active
ACC_000140,CUST_00070,Current,3982857,Active
ACC_000141,CUST_00070,Current,2327256,Active
ACC_000142,CUST_00071,Business,2007939,Active
ACC_000143,CUST_00071,Savings,2397861,Active
ACC_000144,CUST_00071,Salary,2682918,Dormant
ACC_000145,CUST_00072,Current,1266259,Active
ACC_000146,CUST_00073,Current,1795766,Active
ACC_000147,CUST_00073,Business,2776634,Active
ACC_000148,CUST_00073,Business,523322,Active
ACC_000149,CUST_00074,Business,4900613,Dormant
ACC_000150,CUST_00074,Savings,4830240,Active
ACC_000151,CUST_00075,Salary,2505944,Active
ACC_000152,CUST_00076,Current,4096565,Active
ACC_000153,CUST_00076,Business,4074860,Active
ACC_000154,CUST_00077,Business,1385495,Active
ACC_000155,CUST_00077,Current,4481553,Active
ACC_000156,CUST_00078,Savings,705202,Active
ACC_000157,CUST_00078,Current,3874007,Active
ACC_000158,CUST_00079,Business,2747033,Active
ACC_000159,CUST_00079,Salary,2832159,Active
ACC_000160,CUST_00080,Salary,3537342,Active
ACC_000161,CUST_00080,Savings,3946219,Active
ACC_000162,CUST_00081,Savings,2936680,Active
ACC_000163,CUST_00081,Savings,338709,Active
ACC_000164,CUST_00081,Current,1673358,Active
ACC_000165,CUST_00082,Current,2002060,Active
ACC_000166,CUST_00082,Savings,4731919,Dormant
ACC_000167,CUST_00082,Business,2150527,Active
ACC_000168,CUST_00083,Savings,1374767,Closed
ACC_000169,CUST_00084,Savings,2617887,Active
ACC_000170,CUST_00085,Business,1664710,Active
ACC_000171,CUST_00085,Current,855810,Active
ACC_000172,CUST_00086,Savings,4748386,Active
ACC_000173,CUST_00086,Salary,4469991,Active
ACC_000174,CUST_00087,Savings,4245306,Active
ACC_000175,CUST_00087,Savings,3524708,Active
ACC_000176,CUST_00088,Business,3039253,Active
ACC_000177,CUST_00089,Current,3654130,Active
ACC_000178,CUST_00089,Salary,4515521,Active
ACC_000179,CUST_00090,Business,4971037,Active
ACC_000180,CUST_00090,Current,727981,Active
ACC_000181,CUST_00091,Current,3899257,Active
ACC_000182,CUST_00091,Business,2822899,Active
ACC_000183,CUST_00092,Current,4090865,Active
ACC_000184,CUST_00092,Salary,2855969,Active
ACC_000185,CUST_00093,Salary,4663313,Active
ACC_000186,CUST_00093,Current,719173,Active
ACC_000187,CUST_00093,Business,4099488,Active
ACC_000188,CUST_00094,Business,4118307,Active
ACC_000189,CUST_00095,Savings,2469226,Active
ACC_000190,CUST_00096,Current,2569642,Active
ACC_000191,CUST_00096,Salary,3970996,Active
ACC_000192,CUST_00096,Salary,3570384,Closed
ACC_000193,CUST_00097,Salary,2952200,Active
ACC_000194,CUST_00097,Salary,2573140,Active
ACC_000195,CUST_00097,Savings,1616514,Active
ACC_000196,CUST_00098,Current,1607762,Active
ACC_000197,CUST_00098,Business,2320446,Active
ACC_000198,CUST_00098,Salary,844274,Active
ACC_000199,CUST_00099,Current,3028289,Active
ACC_000200,CUST_00099,Savings,4481649,Active
ACC_000201,CUST_00100,Savings,4642911,Active
ACC_000202,CUST_00101,Business,861567,Dormant
ACC_000203,CUST_00102,Salary,3938586,Active
ACC_000204,CUST_00102,Salary,1547554,Closed
ACC_000205,CUST_00102,Salary,4008482,Active
ACC_000206,CUST_00103,Business,4126069,Active
ACC_000207,CUST_00104,Savings,1273778,Active
ACC_000208,CUST_00104,Salary,715549,Closed
ACC_000209,CUST_00104,Savings,4682455,Active
ACC_000210,CUST_00105,Current,4384656,Active
ACC_000211,CUST_00105,Business,2495378,Dormant
ACC_000212,CUST_00105,Business,2562715,Active
ACC_000213,CUST_00106,Savings,1744051,Active
ACC_000214,CUST_00107,Savings,1318490,Active
ACC_000215,CUST_00107,Savings,1314090,Active
ACC_000216,CUST_00108,Business,2444260,Active
ACC_000217,CUST_00108,Salary,2372613,Active
ACC_000218,CUST_00109,Savings,1959100,Dormant
ACC_000219,CUST_00109,Current,3567324,Active
ACC_000220,CUST_00110,Current,2229286,Active
ACC_000221,CUST_00111,Savings,1392861,Active
ACC_000222,CUST_00112,Salary,3684886,Active
ACC_000223,CUST_00112,Salary,3377486,Dormant
ACC_000224,CUST_00112,Business,3673187,Active
ACC_000225,CUST_00113,Business,2704829,Active
ACC_000226,CUST_00114,Savings,1921357,Closed
ACC_000227,CUST_00115,Savings,2261822,Active
ACC_000228,CUST_00115,Current,3947846,Active
ACC_000229,CUST_00115,Business,2334346,Active
ACC_000230,CUST_00116,Business,4125894,Closed
ACC_000231,CUST_00116,Business,2919908,Active
ACC_000232,CUST_00116,Salary,878447,Dormant
ACC_000233,CUST_00117,Business,4157295,Active
ACC_000234,CUST_00117,Business,4615544,Active
ACC_000235,CUST_00118,Salary,2118275,Active
ACC_000236,CUST_00119,Savings,4552604,Active
ACC_000237,CUST_00119,Savings,1574556,Active
ACC_000238,CUST_00120,Business,3709108,Active
ACC_000239,CUST_00120,Current,2241230,Active
ACC_000240,CUST_00120,Salary,3676184,Dormant
ACC_000241,CUST_00121,Savings,243174,Closed
ACC_000242,CUST_00121,Current,1329572,Active
ACC_000243,CUST_00122,Business,782895,Active
ACC_000244,CUST_00123,Business,986377,Active
ACC_000245,CUST_00124,Business,2449312,Active
ACC_000246,CUST_00125,Business,4048499,Closed
ACC_000247,CUST_00125,Current,3832802,Active
ACC_000248,CUST_00126,Current,4264433,Active
ACC_000249,CUST_00126,Current,586609,Active
ACC_000250,CUST_00127,Salary,4260212,Active
ACC_000251,CUST_00127,Savings,2373625,Active
ACC_000252,CUST_00128,Business,1247508,Active
ACC_000253,CUST_00128,Business,2896109,Active
ACC_000254,CUST_00128,Business,3820707,Dormant
ACC_000255,CUST_00129,Current,4797586,Active
ACC_000256,CUST_00130,Savings,2670056,Active
ACC_000257,CUST_00130,Business,3239663,Closed
ACC_000258,CUST_00131,Current,4156117,Closed
ACC_000259,CUST_00131,Current,4214523,Closed
ACC_000260,CUST_00131,Salary,842919,Dormant
ACC_000261,CUST_00132,Savings,4412997,Dormant
ACC_000262,CUST_00132,Savings,1210263,Active
ACC_000263,CUST_00133,Current,628704,Active
ACC_000264,CUST_00133,Salary,2841057,Active
ACC_000265,CUST_00133,Business,674733,Dormant
ACC_000266,CUST_00134,Business,2657346,Active
ACC_000267,CUST_00134,Business,4539371,Active
ACC_000268,CUST_00134,Savings,1970395,Active
ACC_000269,CUST_00135,Current,759156,Active
ACC_000270,CUST_00135,Savings,844115,Active
ACC_000271,CUST_00136,Salary,243827,Active
ACC_000272,CUST_00136,Savings,2461947,Active
ACC_000273,CUST_00136,Business,1222127,Active
ACC_000274,CUST_00137,Current,1426926,Active
ACC_000275,CUST_00137,Business,2021226,Active
ACC_000276,CUST_00138,Current,1948737,Active
ACC_000277,CUST_00138,Salary,3856156,Active
ACC_000278,CUST_00138,Savings,3903827,Dormant
ACC_000279,CUST_00139,Current,620598,Active
ACC_000280,CUST_00139,Salary,4929908,Active
ACC_000281,CUST_00139,Business,2098975,Active
ACC_000282,CUST_00140,Current,3228040,Dormant
ACC_000283,CUST_00140,Savings,1990825,Active
ACC_000284,CUST_00141,Salary,2477575,Active
ACC_000285,CUST_00141,Business,2303508,Active
ACC_000286,CUST_00142,Savings,4167850,Active
ACC_000287,CUST_00142,Salary,1931372,Active
ACC_000288,CUST_00142,Salary,1838143,Active
ACC_000289,CUST_00143,Salary,1148387,Active
ACC_000290,CUST_00143,Savings,2592516,Active
ACC_000291,CUST_00143,Savings,4862817,Active
ACC_000292,CUST_00144,Savings,2476565,Active
ACC_000293,CUST_00145,Current,1685388,Active
ACC_000294,CUST_00145,Salary,4454112,Active
ACC_000295,CUST_00146,Current,2156621,Dormant
ACC_000296,CUST_00146,Business,2476825,Active
ACC_000297,CUST_00147,Savings,3929648,Closed
ACC_000298,CUST_00147,Current,1893593,Dormant
ACC_000299,CUST_00148,Business,4676077,Active
ACC_000300,CUST_00148,Business,117758,Active
ACC_000301,CUST_00148,Savings,3816021,Active
ACC_000302,CUST_00149,Salary,4904645,Active
ACC_000303,CUST_00149,Salary,909872,Active
ACC_000304,CUST_00149,Business,210921,Active
ACC_000305,CUST_00150,Salary,1857962,Active
ACC_000306,CUST_00150,Business,2535954,Active
ACC_000307,CUST_00150,Savings,1173534,Active
ACC_000308,CUST_00151,Salary,4133434,Active
ACC_000309,CUST_00152,Current,3261197,Active
ACC_000310,CUST_00153,Business,4927967,Active
ACC_000311,CUST_00153,Current,3481303,Active
ACC_000312,CUST_00153,Business,3424524,Dormant
ACC_000313,CUST_00154,Savings,3109230,Active
ACC_000314,CUST_00154,Business,1981656,Dormant
ACC_000315,CUST_00155,Salary,4568310,Dormant
ACC_000316,CUST_00156,Salary,508930,Active
ACC_000317,CUST_00156,Current,1025749,Dormant
ACC_000318,CUST_00156,Business,770012,Active
ACC_000319,CUST_00157,Savings,425283,Active
ACC_000320,CUST_00157,Current,1057326,Active
ACC_000321,CUST_00157,Current,576543,Active
ACC_000322,CUST_00158,Current,4919937,Active
ACC_000323,CUST_00158,Current,2757157,Active
ACC_000324,CUST_00158,Savings,2326949,Dormant
ACC_000325,CUST_00159,Current,4532655,Active
ACC_000326,CUST_00160,Savings,217259,Active
ACC_000327,CUST_00161,Current,4940656,Active
ACC_000328,CUST_00161,Current,2227064,Active
ACC_000329,CUST_00162,Business,4414125,Active
ACC_000330,CUST_00162,Savings,3996040,Active
ACC_000331,CUST_00162,Salary,4306352,Active
ACC_000332,CUST_00163,Current,364772,Active
ACC_000333,CUST_00163,Salary,3843339,Active
ACC_000334,CUST_00164,Savings,4018991,Active
ACC_000335,CUST_00165,Savings,4113673,Active
ACC_000336,CUST_00165,Business,617484,Dormant
ACC_000337,CUST_00166,Current,551982,Active
ACC_000338,CUST_00166,Salary,3196257,Closed
ACC_000339,CUST_00167,Salary,3807040,Active
ACC_000340,CUST_00167,Business,832969,Active
ACC_000341,CUST_00167,Savings,4625935,Active
ACC_000342,CUST_00168,Business,3788917,Dormant
ACC_000343,CUST_00169,Salary,3805224,Active
ACC_000344,CUST_00169,Savings,2622845,Active
ACC_000345,CUST_00170,Salary,3140864,Closed
ACC_000346,CUST_00170,Business,564155,Active
ACC_000347,CUST_00170,Savings,783070,Active
ACC_000348,CUST_00171,Salary,1092487,Active
ACC_000349,CUST_00171,Salary,1026350,Active
ACC_000350,CUST_00171,Business,432560,Closed
ACC_000351,CUST_00172,Salary,2950822,Active
ACC_000352,CUST_00172,Current,1298970,Active
ACC_000353,CUST_00172,Current,908801,Active
ACC_000354,CUST_00173,Salary,964727,Active
ACC_000355,CUST_00173,Current,3600655,Active
ACC_000356,CUST_00173,Savings,2244514,Active
ACC_000357,CUST_00174,Salary,2851655,Active
ACC_000358,CUST_00174,Current,1202680,Active
ACC_000359,CUST_00175,Savings,1191130,Active
ACC_000360,CUST_00175,Savings,770719,Active
ACC_000361,CUST_00176,Business,3522810,Active
ACC_000362,CUST_00177,Salary,2615203,Active
ACC_000363,CUST_00178,Savings,442314,Active
ACC_000364,CUST_00178,Savings,685355,Active
ACC_000365,CUST_00178,Business,4075025,Active
ACC_000366,CUST_00179,Salary,1809323,Active
ACC_000367,CUST_00179,Savings,2896519,Active
ACC_000368,CUST_00180,Business,4421243,Active
ACC_000369,CUST_00180,Savings,1850842,Active
ACC_000370,CUST_00181,Savings,65483,Active
ACC_000371,CUST_00181,Current,1152208,Active
ACC_000372,CUST_00181,Salary,2753489,Active
ACC_000373,CUST_00182,Business,1474834,Active
ACC_000374,CUST_00182,Current,4197504,Active
ACC_000375,CUST_00183,Salary,605613,Active
ACC_000376,CUST_00183,Savings,3660275,Active
ACC_000377,CUST_00183,Savings,2627142,Active
ACC_000378,CUST_00184,Business,3504870,Active
ACC_000379,CUST_00184,Business,175957,Closed
ACC_000380,CUST_00184,Current,3860572,Active
ACC_000381,CUST_00185,Savings,3664403,Active
ACC_000382,CUST_00185,Current,3655719,Active
ACC_000383,CUST_00186,Savings,3320931,Dormant
ACC_000384,CUST_00186,Salary,1859681,Active
ACC_000385,CUST_00186,Current,641716,Active
ACC_000386,CUST_00187,Current,2931772,Active
ACC_000387,CUST_00188,Current,1982966,Active
ACC_000388,CUST_00188,Salary,1655835,Active
ACC_000389,CUST_00188,Current,633109,Active
ACC_000390,CUST_00189,Business,3892920,Active
ACC_000391,CUST_00189,Business,4736300,Active
ACC_000392,CUST_00189,Salary,2652965,Active
ACC_000393,CUST_00190,Business,3710510,Active
ACC_000394,CUST_00191,Savings,2953305,Active
ACC_000395,CUST_00191,Salary,3874376,Active
ACC_000396,CUST_00192,Salary,2409176,Active
ACC_000397,CUST_00193,Business,3882506,Active
ACC_000398,CUST_00194,Savings,3773639,Dormant
ACC_000399,CUST_00194,Current,2698161,Active
ACC_000400,CUST_00194,Current,520034,Active
ACC_000401,CUST_00195,Savings,4233463,Active
ACC_000402,CUST_00195,Savings,2079224,Active
ACC_000403,CUST_00196,Current,3053597,Active
ACC_000404,CUST_00196,Salary,3250885,Active
ACC_000405,CUST_00197,Savings,2808242,Active
ACC_000406,CUST_00197,Savings,4681534,Active
ACC_000407,CUST_00198,Salary,1262422,Active
ACC_000408,CUST_00198,Current,2935509,Active
ACC_000409,CUST_00199,Business,1082724,Active
ACC_000410,CUST_00199,Savings,2597961,Active
ACC_000411,CUST_00199,Salary,1073011,Active
ACC_000412,CUST_00200,Savings,3552790,Active
ACC_000413,CUST_00200,Savings,3042689,Active
ACC_000414,CUST_00200,Current,2867658,Dormant
ACC_000415,CUST_00201,Current,1901380,Closed
ACC_000416,CUST_00201,Current,648307,Active
ACC_000417,CUST_00202,Savings,2825984,Dormant
ACC_000418,CUST_00203,Current,3161155,Active
ACC_000419,CUST_00203,Current,1389643,Active
ACC_000420,CUST_00203,Savings,3447531,Active
ACC_000421,CUST_00204,Current,3727208,Active
ACC_000422,CUST_00204,Business,1963958,Active
ACC_000423,CUST_00204,Salary,3935388,Dormant
ACC_000424,CUST_00205,Salary,4786024,Closed
ACC_000425,CUST_00206,Salary,3204378,Active
ACC_000426,CUST_00206,Business,1360442,Active
ACC_000427,CUST_00207,Current,2098178,Active
ACC_000428,CUST_00207,Business,3114952,Active
ACC_000429,CUST_00207,Savings,4328761,Dormant
ACC_000430,CUST_00208,Savings,1345797,Active
ACC_000431,CUST_00208,Current,3670785,Active
ACC_000432,CUST_00209,Business,2933532,Dormant
ACC_000433,CUST_00210,Savings,3326696,Active
ACC_000434,CUST_00210,Current,3240396,Closed
ACC_000435,CUST_00211,Current,237454,Active
ACC_000436,CUST_00211,Savings,2813619,Active
ACC_000437,CUST_00212,Savings,2407518,Dormant
ACC_000438,CUST_00213,Current,3936180,Active
ACC_000439,CUST_00213,Savings,665593,Active
ACC_000440,CUST_00214,Current,4604703,Dormant
ACC_000441,CUST_00215,Business,933702,Active
ACC_000442,CUST_00215,Current,2527239,Active
ACC_000443,CUST_00215,Current,3522751,Active
ACC_000444,CUST_00216,Business,527864,Active
ACC_000445,CUST_00216,Business,4497745,Active
ACC_000446,CUST_00216,Current,1205409,Active
ACC_000447,CUST_00217,Salary,2018999,Active
ACC_000448,CUST_00218,Savings,4392306,Closed
ACC_000449,CUST_00219,Savings,3276363,Dormant
ACC_000450,CUST_00220,Business,3132487,Active
ACC_000451,CUST_00221,Salary,567730,Active
ACC_000452,CUST_00222,Savings,4882358,Active
ACC_000453,CUST_00222,Salary,1120120,Active
ACC_000454,CUST_00222,Salary,1469754,Active
ACC_000455,CUST_00223,Business,4015210,Active
ACC_000456,CUST_00223,Current,530325,Active
ACC_000457,CUST_00223,Business,311242,Active
ACC_000458,CUST_00224,Current,352532,Active
ACC_000459,CUST_00225,Business,4556271,Active
ACC_000460,CUST_00225,Savings,1604091,Active
ACC_000461,CUST_00226,Salary,2292907,Active
ACC_000462,CUST_00227,Business,3356625,Active
ACC_000463,CUST_00227,Business,2845045,Closed
ACC_000464,CUST_00228,Business,3082529,Dormant
ACC_000465,CUST_00228,Salary,693995,Active
ACC_000466,CUST_00229,Business,1514778,Active
ACC_000467,CUST_00230,Savings,672666,Active
ACC_000468,CUST_00230,Salary,2572073,Active
ACC_000469,CUST_00231,Business,1398917,Active
ACC_000470,CUST_00231,Salary,3751795,Active
ACC_000471,CUST_00231,Salary,3649545,Active
ACC_000472,CUST_00232,Savings,3408538,Active
ACC_000473,CUST_00233,Current,262226,Active
ACC_000474,CUST_00233,Business,292914,Active
ACC_000475,CUST_00233,Current,3073985,Active
ACC_000476,CUST_00234,Savings,1288132,Active
ACC_000477,CUST_00234,Salary,3121674,Active
ACC_000478,CUST_00234,Savings,4815404,Active
ACC_000479,CUST_00235,Business,2638256,Active
ACC_000480,CUST_00235,Current,952675,Active
ACC_000481,CUST_00236,Business,4344162,Active
ACC_000482,CUST_00237,Savings,2196941,Active
ACC_000483,CUST_00237,Business,1800947,Closed
ACC_000484,CUST_00237,Salary,4121485,Active
ACC_000485,CUST_00238,Savings,3793008,Active
ACC_000486,CUST_00239,Business,737442,Active
ACC_000487,CUST_00239,Salary,2915414,Active
ACC_000488,CUST_00239,Salary,2517218,Dormant
ACC_000489,CUST_00240,Current,3033416,Active
ACC_000490,CUST_00240,Savings,1686945,Active
ACC_000491,CUST_00240,Current,4145156,Active
ACC_000492,CUST_00241,Salary,3921884,Active
ACC_000493,CUST_00241,Current,724227,Active
ACC_000494,CUST_00241,Business,4016333,Active
ACC_000495,CUST_00242,Savings,1052317,Closed
ACC_000496,CUST_00242,Savings,3775659,Active
ACC_000497,CUST_00243,Salary,1077548,Dormant
ACC_000498,CUST_00243,Current,1083406,Active
ACC_000499,CUST_00243,Savings,1042538,Active
ACC_000500,CUST_00244,Current,1359677,Active
ACC_000501,CUST_00244,Current,2903651,Dormant
ACC_000502,CUST_00245,Salary,662524,Active
ACC_000503,CUST_00245,Salary,1051004,Active
ACC_000504,CUST_00245,Savings,4216889,Active
ACC_000505,CUST_00246,Current,1437134,Active
ACC_000506,CUST_00246,Salary,4728970,Active
ACC_000507,CUST_00246,Savings,682346,Active
ACC_000508,CUST_00247,Salary,1769388,Active
ACC_000509,CUST_00247,Business,255056,Active
ACC_000510,CUST_00247,Salary,2535149,Active
ACC_000511,CUST_00248,Business,2496056,Active
ACC_000512,CUST_00248,Savings,1327074,Active
ACC_000513,CUST_00248,Business,3897023,Active
ACC_000514,CUST_00249,Current,2623132,Dormant
ACC_000515,CUST_00249,Salary,2898178,Closed
ACC_000516,CUST_00249,Current,3109316,Active
ACC_000517,CUST_00250,Salary,2028844,Active
ACC_000518,CUST_00251,Business,2080694,Active
ACC_000519,CUST_00251,Savings,2435474,Dormant
ACC_000520,CUST_00252,Business,2083642,Closed
ACC_000521,CUST_00252,Current,2747730,Dormant
ACC_000522,CUST_00252,Salary,1593443,Active
ACC_000523,CUST_00253,Business,4184899,Dormant
ACC_000524,CUST_00253,Business,195416,Active
ACC_000525,CUST_00254,Business,2020378,Active
ACC_000526,CUST_00254,Salary,409174,Active
ACC_000527,CUST_00255,Business,2398031,Active
ACC_000528,CUST_00255,Savings,3615884,Active
ACC_000529,CUST_00256,Salary,3383740,Active
ACC_000530,CUST_00256,Business,430141,Active
ACC_000531,CUST_00257,Salary,4641770,Active
ACC_000532,CUST_00258,Business,4613535,Active
ACC_000533,CUST_00258,Savings,1080306,Closed
ACC_000534,CUST_00259,Salary,2845453,Active
ACC_000535,CUST_00259,Salary,1211202,Active
ACC_000536,CUST_00260,Business,4195957,Active
ACC_000537,CUST_00260,Savings,1150544,Active
ACC_000538,CUST_00260,Business,4357478,Active
ACC_000539,CUST_00261,Current,2752176,Dormant
ACC_000540,CUST_00261,Salary,1364165,Active
ACC_000541,CUST_00261,Salary,4981523,Active
ACC_000542,CUST_00262,Business,4723150,Active
ACC_000543,CUST_00262,Savings,3091009,Active
ACC_000544,CUST_00262,Savings,3495193,Active
ACC_000545,CUST_00263,Savings,3982151,Active
ACC_000546,CUST_00263,Current,431798,Active
ACC_000547,CUST_00263,Current,4398579,Active
ACC_000548,CUST_00264,Business,1240632,Active
ACC_000549,CUST_00264,Current,265832,Active
ACC_000550,CUST_00264,Savings,1601414,Active
ACC_000551,CUST_00265,Business,1271297,Active
ACC_000552,CUST_00265,Current,3443495,Active
ACC_000553,CUST_00266,Business,523453,Active
ACC_000554,CUST_00266,Current,4706059,Active
ACC_000555,CUST_00266,Business,4409021,Active
ACC_000556,CUST_00267,Business,4473193,Active
ACC_000557,CUST_00268,Salary,4062597,Active
ACC_000558,CUST_00268,Current,2341475,Active
ACC_000559,CUST_00269,Salary,2425342,Active
ACC_000560,CUST_00270,Business,2660530,Active
ACC_000561,CUST_00270,Salary,2415152,Active
ACC_000562,CUST_00270,Business,3310578,Active
ACC_000563,CUST_00271,Salary,353879,Active
ACC_000564,CUST_00272,Savings,2906507,Dormant
ACC_000565,CUST_00272,Salary,4019808,Active
ACC_000566,CUST_00272,Salary,4715548,Active
ACC_000567,CUST_00273,Savings,4923691,Active
