account_id,incoming_transactions,outgoing_transactions,total_connections,degree_centrality
ACC_000886,12,13,25,0.024024024024024024
ACC_000411,17,7,24,0.024024024024024024
ACC_000272,10,14,24,0.023023023023023025
ACC_000803,12,15,27,0.026026026026026026
ACC_000570,9,5,14,0.014014014014014014
ACC_000594,15,11,26,0.026026026026026026
ACC_000754,8,7,15,0.015015015015015015
ACC_000515,15,10,25,0.025025025025025023
ACC_000942,12,9,21,0.02102102102102102
ACC_000071,8,10,18,0.018018018018018018
ACC_000610,8,7,15,0.015015015015015015
ACC_000584,8,13,21,0.02102102102102102
ACC_000253,6,11,17,0.017017017017017015
ACC_000536,12,11,23,0.023023023023023025
ACC_000406,5,11,16,0.016016016016016016
ACC_000959,7,12,19,0.01901901901901902
ACC_000075,10,10,20,0.02002002002002002
ACC_000219,6,17,23,0.023023023023023025
ACC_000519,6,9,15,0.015015015015015015
ACC_000251,9,13,22,0.022022022022022022
ACC_000379,11,14,25,0.025025025025025023
ACC_000310,11,12,23,0.023023023023023025
ACC_000627,6,11,17,0.017017017017017015
ACC_000138,10,12,22,0.022022022022022022
ACC_000289,7,16,23,0.023023023023023025
ACC_000620,18,11,29,0.028028028028028028
ACC_000850,11,12,23,0.023023023023023025
ACC_000284,15,11,26,0.026026026026026026
ACC_000269,13,12,25,0.025025025025025023
ACC_000166,9,11,20,0.02002002002002002
ACC_000968,8,8,16,0.016016016016016016
ACC_000905,11,10,21,0.02102102102102102
ACC_000441,13,11,24,0.023023023023023025
ACC_000131,10,9,19,0.01901901901901902
ACC_000996,17,7,24,0.024024024024024024
ACC_000882,13,10,23,0.022022022022022022
ACC_000106,13,8,21,0.02102102102102102
ACC_000363,13,11,24,0.024024024024024024
ACC_000831,8,14,22,0.022022022022022022
ACC_000182,14,10,24,0.024024024024024024
ACC_000802,6,15,21,0.02102102102102102
ACC_000954,12,10,22,0.022022022022022022
ACC_000111,14,11,25,0.025025025025025023
ACC_000392,12,12,24,0.024024024024024024
ACC_000472,15,13,28,0.028028028028028028
ACC_000359,5,9,14,0.014014014014014014
ACC_000409,12,11,23,0.023023023023023025
ACC_000337,6,3,9,0.009009009009009009
ACC_000410,7,12,19,0.01901901901901902
ACC_000696,13,12,25,0.025025025025025023
ACC_000183,10,13,23,0.022022022022022022
ACC_000595,14,8,22,0.022022022022022022
ACC_000806,12,9,21,0.02002002002002002
ACC_000195,8,10,18,0.018018018018018018
ACC_000826,9,12,21,0.02102102102102102
ACC_000943,4,7,11,0.011011011011011011
ACC_000339,10,13,23,0.023023023023023025
ACC_000317,11,12,23,0.023023023023023025
ACC_000683,9,6,15,0.015015015015015015
ACC_000197,5,6,11,0.011011011011011011
ACC_000631,11,12,23,0.023023023023023025
ACC_000583,9,8,17,0.017017017017017015
ACC_000294,12,10,22,0.022022022022022022
ACC_000216,10,7,17,0.017017017017017015
ACC_000524,7,10,17,0.017017017017017015
ACC_000680,10,4,14,0.014014014014014014
ACC_000649,9,11,20,0.02002002002002002
ACC_000204,7,9,16,0.016016016016016016
ACC_000626,4,12,16,0.016016016016016016
ACC_000871,10,7,17,0.017017017017017015
ACC_000200,8,11,19,0.01901901901901902
ACC_000705,11,11,22,0.022022022022022022
ACC_000006,8,13,21,0.02002002002002002
ACC_000531,9,7,16,0.016016016016016016
ACC_000476,11,8,19,0.01901901901901902
ACC_000684,14,12,26,0.026026026026026026
ACC_000517,10,3,13,0.013013013013013013
ACC_000437,13,6,19,0.01901901901901902
ACC_000266,15,10,25,0.024024024024024024
ACC_000770,8,15,23,0.023023023023023025
ACC_000451,11,10,21,0.02102102102102102
ACC_000915,9,11,20,0.02002002002002002
ACC_000554,12,6,18,0.018018018018018018
ACC_000157,9,8,17,0.017017017017017015
ACC_000724,11,9,20,0.02002002002002002
ACC_000478,10,10,20,0.02002002002002002
ACC_000426,14,9,23,0.022022022022022022
ACC_000599,10,13,23,0.022022022022022022
ACC_000969,9,12,21,0.02102102102102102
ACC_000772,6,10,16,0.016016016016016016
ACC_000820,12,10,22,0.022022022022022022
ACC_000618,14,10,24,0.024024024024024024
ACC_000030,14,9,23,0.022022022022022022
ACC_000399,13,11,24,0.023023023023023025
ACC_000086,12,12,24,0.024024024024024024
ACC_000389,8,12,20,0.02002002002002002
ACC_000336,14,12,26,0.026026026026026026
ACC_000285,17,14,31,0.031031031031031032
ACC_000553,9,15,24,0.024024024024024024
ACC_000054,8,6,14,0.014014014014014014
ACC_000042,5,9,14,0.014014014014014014
ACC_000773,11,13,24,0.024024024024024024
ACC_000245,12,15,27,0.02702702702702703
ACC_000477,9,13,22,0.022022022022022022
ACC_000717,12,13,25,0.025025025025025023
ACC_000118,11,9,20,0.02002002002002002
ACC_000590,9,8,17,0.017017017017017015
ACC_000694,6,5,11,0.011011011011011011
ACC_000708,12,11,23,0.023023023023023025
ACC_000851,6,15,21,0.02102102102102102
ACC_000701,17,15,32,0.03203203203203203
ACC_000615,10,8,18,0.018018018018018018
ACC_000444,10,7,17,0.017017017017017015
ACC_000984,14,6,20,0.01901901901901902
ACC_000752,8,12,20,0.02002002002002002
ACC_000535,12,6,18,0.018018018018018018
ACC_000607,6,16,22,0.02102102102102102
ACC_000275,15,9,24,0.024024024024024024
ACC_000250,10,10,20,0.02002002002002002
ACC_000769,15,10,25,0.025025025025025023
ACC_000333,11,9,20,0.02002002002002002
ACC_000187,8,14,22,0.022022022022022022
ACC_000287,9,11,20,0.02002002002002002
ACC_000902,7,7,14,0.014014014014014014
ACC_000248,11,12,23,0.023023023023023025
ACC_000738,12,5,17,0.017017017017017015
ACC_000488,8,16,24,0.024024024024024024
ACC_000662,10,6,16,0.016016016016016016
ACC_000415,13,13,26,0.025025025025025023
ACC_000709,15,6,21,0.02102102102102102
ACC_000567,11,15,26,0.026026026026026026
ACC_000544,13,13,26,0.026026026026026026
ACC_000720,9,10,19,0.018018018018018018
ACC_000465,16,10,26,0.026026026026026026
ACC_000198,13,9,22,0.022022022022022022
ACC_000742,13,13,26,0.026026026026026026
ACC_000184,11,14,25,0.025025025025025023
ACC_000300,15,7,22,0.022022022022022022
ACC_000292,9,12,21,0.02002002002002002
ACC_000481,8,8,16,0.016016016016016016
ACC_000259,14,9,23,0.023023023023023025
ACC_000964,5,9,14,0.013013013013013013
ACC_000645,9,9,18,0.018018018018018018
ACC_000088,17,4,21,0.02102102102102102
ACC_000255,7,15,22,0.022022022022022022
ACC_000232,8,8,16,0.016016016016016016
ACC_000795,15,10,25,0.025025025025025023
ACC_000440,7,17,24,0.024024024024024024
ACC_000313,6,10,16,0.016016016016016016
ACC_000677,15,10,25,0.025025025025025023
ACC_000084,10,5,15,0.015015015015015015
ACC_000003,8,14,22,0.022022022022022022
ACC_000419,9,11,20,0.02002002002002002
ACC_000290,8,11,19,0.01901901901901902
ACC_000807,13,7,20,0.02002002002002002
ACC_000811,8,8,16,0.016016016016016016
ACC_000153,11,11,22,0.022022022022022022
ACC_000931,12,8,20,0.02002002002002002
ACC_000315,11,10,21,0.02102102102102102
ACC_000413,8,13,21,0.02102102102102102
ACC_000911,14,10,24,0.024024024024024024
ACC_000443,16,7,23,0.023023023023023025
ACC_000857,17,10,27,0.02702702702702703
ACC_000180,6,11,17,0.017017017017017015
ACC_000482,9,15,24,0.024024024024024024
ACC_000504,14,12,26,0.026026026026026026
ACC_000993,14,12,26,0.026026026026026026
ACC_000687,5,7,12,0.012012012012012012
ACC_000108,6,3,9,0.009009009009009009
ACC_000679,8,17,25,0.025025025025025023
ACC_000332,13,11,24,0.024024024024024024
ACC_000119,12,10,22,0.022022022022022022
ACC_000424,9,9,18,0.018018018018018018
ACC_000453,7,9,16,0.016016016016016016
ACC_000779,11,9,20,0.02002002002002002
ACC_000449,14,12,26,0.026026026026026026
ACC_000727,10,6,16,0.016016016016016016
ACC_000163,12,10,22,0.022022022022022022
ACC_000862,8,9,17,0.017017017017017015
ACC_000935,9,6,15,0.014014014014014014
ACC_000511,7,12,19,0.01901901901901902
ACC_000956,10,11,21,0.02102102102102102
ACC_000468,12,4,16,0.016016016016016016
ACC_000765,8,12,20,0.02002002002002002
ACC_000901,7,11,18,0.018018018018018018
ACC_000425,11,12,23,0.023023023023023025
ACC_000349,14,6,20,0.02002002002002002
ACC_000602,14,14,28,0.02702702702702703
ACC_000341,9,13,22,0.022022022022022022
ACC_000566,10,10,20,0.01901901901901902
ACC_000586,13,19,32,0.03203203203203203
ACC_000485,10,10,20,0.02002002002002002
ACC_000723,4,7,11,0.011011011011011011
ACC_000156,11,11,22,0.022022022022022022
ACC_000508,13,5,18,0.018018018018018018
ACC_000896,12,21,33,0.03203203203203203
ACC_000866,10,8,18,0.018018018018018018
ACC_000740,5,7,12,0.012012012012012012
ACC_000148,10,4,14,0.014014014014014014
ACC_000639,7,12,19,0.018018018018018018
ACC_000547,14,14,28,0.028028028028028028
ACC_000241,13,8,21,0.02002002002002002
ACC_000647,11,14,25,0.025025025025025023
ACC_000048,14,6,20,0.02002002002002002
ACC_000150,7,9,16,0.016016016016016016
ACC_000892,9,15,24,0.024024024024024024
ACC_000654,9,13,22,0.022022022022022022
ACC_000261,9,11,20,0.01901901901901902
ACC_000923,9,7,16,0.016016016016016016
ACC_000307,12,7,19,0.018018018018018018
ACC_000394,10,11,21,0.02102102102102102
ACC_000874,10,5,15,0.015015015015015015
ACC_000589,10,13,23,0.023023023023023025
ACC_000303,16,9,25,0.025025025025025023
ACC_000580,5,9,14,0.014014014014014014
ACC_000622,7,14,21,0.02102102102102102
ACC_000822,14,17,31,0.031031031031031032
ACC_000695,10,6,16,0.016016016016016016
ACC_000774,12,6,18,0.018018018018018018
ACC_000808,9,7,16,0.016016016016016016
ACC_000452,13,9,22,0.022022022022022022
ACC_000335,11,10,21,0.02102102102102102
ACC_000995,14,14,28,0.028028028028028028
ACC_000967,9,14,23,0.023023023023023025
ACC_000494,13,5,18,0.018018018018018018
ACC_000145,9,7,16,0.016016016016016016
ACC_000405,6,10,16,0.016016016016016016
ACC_000015,13,7,20,0.02002002002002002
ACC_000689,16,6,22,0.022022022022022022
ACC_000026,7,13,20,0.02002002002002002
ACC_000635,9,10,19,0.01901901901901902
ACC_000932,14,12,26,0.026026026026026026
ACC_000312,6,8,14,0.014014014014014014
ACC_000505,16,10,26,0.026026026026026026
ACC_000398,12,14,26,0.025025025025025023
ACC_000907,10,11,21,0.02102102102102102
ACC_000034,6,16,22,0.022022022022022022
ACC_000707,13,11,24,0.024024024024024024
ACC_000876,5,11,16,0.016016016016016016
ACC_000372,8,10,18,0.018018018018018018
ACC_000368,7,4,11,0.011011011011011011
ACC_000063,9,10,19,0.01901901901901902
ACC_000094,5,4,9,0.009009009009009009
ACC_000129,11,7,18,0.018018018018018018
ACC_000833,2,12,14,0.014014014014014014
ACC_000891,8,9,17,0.017017017017017015
ACC_000113,5,11,16,0.016016016016016016
ACC_000244,7,11,18,0.018018018018018018
ACC_000603,16,10,26,0.026026026026026026
ACC_000432,11,8,19,0.01901901901901902
ACC_000526,14,8,22,0.022022022022022022
ACC_000608,8,10,18,0.018018018018018018
ACC_000045,7,12,19,0.01901901901901902
ACC_000745,12,11,23,0.023023023023023025
ACC_000868,9,10,19,0.01901901901901902
ACC_000412,9,11,20,0.01901901901901902
ACC_000076,9,7,16,0.016016016016016016
ACC_000921,8,7,15,0.015015015015015015
ACC_000640,9,6,15,0.015015015015015015
ACC_000667,9,8,17,0.017017017017017015
ACC_000899,9,14,23,0.023023023023023025
ACC_000348,6,10,16,0.016016016016016016
ACC_000848,9,12,21,0.02102102102102102
ACC_000438,6,15,21,0.02102102102102102
ACC_000321,8,11,19,0.01901901901901902
ACC_000069,9,12,21,0.02102102102102102
ACC_000382,10,15,25,0.025025025025025023
ACC_000832,14,7,21,0.02102102102102102
ACC_000126,5,11,16,0.016016016016016016
ACC_000421,6,10,16,0.016016016016016016
ACC_000320,9,16,25,0.025025025025025023
ACC_000673,6,12,18,0.018018018018018018
ACC_000781,11,16,27,0.02702702702702703
ACC_000839,11,12,23,0.022022022022022022
ACC_000637,8,9,17,0.017017017017017015
ACC_000674,10,15,25,0.025025025025025023
ACC_000633,9,9,18,0.018018018018018018
ACC_000051,10,12,22,0.022022022022022022
ACC_000354,16,9,25,0.025025025025025023
ACC_000540,10,10,20,0.02002002002002002
ACC_000057,12,14,26,0.026026026026026026
ACC_000008,13,12,25,0.025025025025025023
ACC_000262,15,8,23,0.023023023023023025
ACC_000297,16,13,29,0.029029029029029027
ACC_000133,8,6,14,0.014014014014014014
ACC_000471,9,10,19,0.01901901901901902
ACC_000944,16,13,29,0.029029029029029027
ACC_000176,8,5,13,0.013013013013013013
ACC_000821,12,4,16,0.016016016016016016
ACC_000447,9,8,17,0.017017017017017015
ACC_000227,9,8,17,0.017017017017017015
ACC_000523,6,8,14,0.014014014014014014
ACC_000661,9,13,22,0.022022022022022022
ACC_000835,10,13,23,0.023023023023023025
ACC_000178,10,10,20,0.02002002002002002
ACC_000617,8,8,16,0.016016016016016016
ACC_000578,17,7,24,0.024024024024024024
ACC_000070,11,8,19,0.01901901901901902
ACC_000520,5,16,21,0.02102102102102102
ACC_000474,13,13,26,0.025025025025025023
ACC_000858,7,10,17,0.017017017017017015
ACC_000352,10,10,20,0.02002002002002002
ACC_000450,8,8,16,0.016016016016016016
ACC_000537,10,11,21,0.02102102102102102
ACC_000794,15,7,22,0.022022022022022022
ACC_000338,7,9,16,0.016016016016016016
ACC_000929,7,7,14,0.013013013013013013
ACC_000939,8,8,16,0.016016016016016016
ACC_000318,10,11,21,0.02102102102102102
ACC_000573,13,8,21,0.02102102102102102
ACC_000757,12,18,30,0.03003003003003003
ACC_000185,16,8,24,0.024024024024024024
ACC_000159,9,11,20,0.02002002002002002
ACC_000080,11,13,24,0.024024024024024024
ACC_000158,16,17,33,0.03303303303303303
ACC_000167,10,4,14,0.014014014014014014
ACC_000374,8,10,18,0.018018018018018018
ACC_000693,7,16,23,0.023023023023023025
ACC_000460,9,7,16,0.016016016016016016
ACC_000856,8,13,21,0.02102102102102102
ACC_000199,6,13,19,0.01901901901901902
ACC_000894,11,4,15,0.015015015015015015
ACC_000257,7,10,17,0.017017017017017015
ACC_000729,10,12,22,0.022022022022022022
ACC_000867,10,8,18,0.018018018018018018
ACC_000461,9,14,23,0.023023023023023025
ACC_000928,8,8,16,0.016016016016016016
ACC_000837,11,9,20,0.02002002002002002
ACC_000462,10,5,15,0.015015015015015015
ACC_000242,14,10,24,0.024024024024024024
ACC_000102,10,6,16,0.016016016016016016
ACC_000484,9,9,18,0.018018018018018018
ACC_000082,12,7,19,0.01901901901901902
ACC_000020,10,6,16,0.016016016016016016
ACC_000541,10,3,13,0.013013013013013013
ACC_000049,10,14,24,0.023023023023023025
ACC_000512,10,9,19,0.01901901901901902
ACC_000612,11,9,20,0.02002002002002002
ACC_000002,6,11,17,0.017017017017017015
ACC_000630,11,12,23,0.023023023023023025
ACC_000685,5,9,14,0.014014014014014014
ACC_000568,13,11,24,0.024024024024024024
ACC_000260,8,6,14,0.014014014014014014
ACC_000644,15,7,22,0.022022022022022022
ACC_000834,19,13,32,0.031031031031031032
ACC_000139,9,9,18,0.018018018018018018
ACC_000205,8,7,15,0.015015015015015015
ACC_000557,5,16,21,0.02102102102102102
ACC_000800,9,8,17,0.017017017017017015
ACC_000448,8,11,19,0.01901901901901902
ACC_000509,12,12,24,0.024024024024024024
ACC_000435,7,9,16,0.016016016016016016
ACC_000329,7,24,31,0.03003003003003003
ACC_000735,10,10,20,0.02002002002002002
ACC_000044,11,11,22,0.022022022022022022
ACC_000971,12,12,24,0.024024024024024024
ACC_000059,8,6,14,0.014014014014014014
ACC_000036,6,8,14,0.014014014014014014
ACC_000130,8,17,25,0.024024024024024024
ACC_000973,12,13,25,0.025025025025025023
ACC_000581,9,8,17,0.017017017017017015
ACC_000381,10,12,22,0.022022022022022022
ACC_000455,6,13,19,0.01901901901901902
ACC_000397,7,12,19,0.01901901901901902
ACC_000293,8,7,15,0.015015015015015015
ACC_000463,10,10,20,0.02002002002002002
ACC_000177,10,12,22,0.022022022022022022
ACC_000067,8,6,14,0.014014014014014014
ACC_000179,8,9,17,0.017017017017017015
ACC_000810,9,15,24,0.024024024024024024
ACC_000506,11,7,18,0.018018018018018018
ACC_000823,8,6,14,0.014014014014014014
ACC_000565,14,11,25,0.025025025025025023
ACC_000737,10,9,19,0.01901901901901902
ACC_000491,10,10,20,0.02002002002002002
ACC_000658,7,19,26,0.026026026026026026
ACC_000849,12,12,24,0.024024024024024024
ACC_000958,8,10,18,0.018018018018018018
ACC_000924,9,12,21,0.02002002002002002
ACC_000790,7,4,11,0.011011011011011011
ACC_000032,8,15,23,0.023023023023023025
ACC_000510,16,6,22,0.022022022022022022
ACC_000702,8,11,19,0.01901901901901902
ACC_000416,12,4,16,0.016016016016016016
ACC_000528,9,14,23,0.023023023023023025
ACC_000576,7,12,19,0.01901901901901902
ACC_000254,14,13,27,0.026026026026026026
ACC_000885,9,10,19,0.01901901901901902
ACC_000739,14,11,25,0.025025025025025023
ACC_000316,10,14,24,0.024024024024024024
ACC_000221,7,13,20,0.02002002002002002
ACC_000598,8,9,17,0.017017017017017015
ACC_000904,9,13,22,0.02102102102102102
ACC_000864,9,8,17,0.017017017017017015
ACC_000442,9,11,20,0.02002002002002002
ACC_000053,10,10,20,0.02002002002002002
ACC_000572,9,8,17,0.017017017017017015
ACC_000513,7,11,18,0.018018018018018018
ACC_000486,10,13,23,0.023023023023023025
ACC_000532,8,9,17,0.017017017017017015
ACC_000340,12,11,23,0.023023023023023025
ACC_000690,19,13,32,0.03203203203203203
ACC_000743,13,9,22,0.022022022022022022
ACC_000593,8,10,18,0.018018018018018018
ACC_000592,5,9,14,0.014014014014014014
ACC_000718,12,8,20,0.02002002002002002
ACC_000423,8,10,18,0.018018018018018018
ACC_000483,12,12,24,0.024024024024024024
ACC_000490,12,12,24,0.023023023023023025
ACC_000351,8,9,17,0.016016016016016016
ACC_000560,15,10,25,0.025025025025025023
ACC_000213,10,8,18,0.018018018018018018
ACC_000281,14,9,23,0.023023023023023025
ACC_000918,10,9,19,0.01901901901901902
ACC_000355,9,7,16,0.016016016016016016
ACC_000601,12,7,19,0.01901901901901902
ACC_000246,10,10,20,0.02002002002002002
ACC_000103,16,9,25,0.025025025025025023
ACC_000698,8,10,18,0.018018018018018018
ACC_000741,11,9,20,0.02002002002002002
ACC_000957,9,19,28,0.02702702702702703
ACC_000986,5,11,16,0.016016016016016016
ACC_000110,13,19,32,0.03203203203203203
ACC_000951,11,10,21,0.02102102102102102
ACC_000962,12,8,20,0.02002002002002002
ACC_000346,16,9,25,0.025025025025025023
ACC_000919,13,6,19,0.01901901901901902
ACC_000190,7,9,16,0.016016016016016016
ACC_000144,9,14,23,0.023023023023023025
ACC_000458,11,12,23,0.023023023023023025
ACC_000012,10,11,21,0.02102102102102102
ACC_000268,9,9,18,0.018018018018018018
ACC_000766,8,11,19,0.01901901901901902
ACC_000621,7,8,15,0.015015015015015015
ACC_000776,10,10,20,0.02002002002002002
ACC_000551,9,9,18,0.018018018018018018
ACC_000064,10,12,22,0.022022022022022022
ACC_000120,7,12,19,0.01901901901901902
ACC_000829,7,11,18,0.018018018018018018
ACC_000060,4,11,15,0.015015015015015015
ACC_000066,18,7,25,0.025025025025025023
ACC_000555,14,15,29,0.029029029029029027
ACC_000940,12,11,23,0.022022022022022022
ACC_000403,6,8,14,0.014014014014014014
ACC_000475,8,7,15,0.015015015015015015
ACC_000283,10,11,21,0.02102102102102102
ACC_000785,11,10,21,0.02102102102102102
ACC_000035,8,13,21,0.02102102102102102
ACC_000240,5,8,13,0.013013013013013013
ACC_000836,12,5,17,0.017017017017017015
ACC_000534,14,7,21,0.02102102102102102
ACC_000972,10,9,19,0.01901901901901902
ACC_000606,13,8,21,0.02102102102102102
ACC_000965,15,11,26,0.026026026026026026
ACC_000308,15,12,27,0.026026026026026026
ACC_000386,9,11,20,0.02002002002002002
ACC_000879,13,11,24,0.024024024024024024
ACC_000725,9,3,12,0.012012012012012012
ACC_000571,9,12,21,0.02102102102102102
ACC_000543,6,6,12,0.012012012012012012
ACC_000663,13,8,21,0.02102102102102102
ACC_000196,10,15,25,0.024024024024024024
ACC_000895,13,10,23,0.023023023023023025
ACC_000311,11,12,23,0.023023023023023025
ACC_000330,9,12,21,0.02102102102102102
ACC_000780,12,8,20,0.02002002002002002
ACC_000577,5,7,12,0.012012012012012012
ACC_000264,7,11,18,0.018018018018018018
ACC_000361,12,10,22,0.022022022022022022
ACC_000174,8,6,14,0.014014014014014014
ACC_000981,7,10,17,0.017017017017017015
ACC_000050,4,11,15,0.015015015015015015
ACC_000783,7,7,14,0.014014014014014014
ACC_000062,7,13,20,0.02002002002002002
ACC_000422,5,6,11,0.011011011011011011
ACC_000013,7,8,15,0.015015015015015015
ACC_000691,5,9,14,0.014014014014014014
ACC_000247,17,12,29,0.029029029029029027
ACC_000445,8,12,20,0.02002002002002002
ACC_000217,6,13,19,0.01901901901901902
ACC_000288,11,10,21,0.02102102102102102
ACC_000855,11,9,20,0.02002002002002002
ACC_000706,9,8,17,0.016016016016016016
ACC_000859,8,7,15,0.015015015015015015
ACC_000078,6,9,15,0.015015015015015015
ACC_000191,9,19,28,0.028028028028028028
ACC_000731,9,11,20,0.02002002002002002
ACC_000650,11,9,20,0.02002002002002002
ACC_000966,15,15,30,0.03003003003003003
ACC_000192,6,13,19,0.01901901901901902
ACC_000087,10,11,21,0.02102102102102102
ACC_000276,16,18,34,0.03403403403403403
ACC_000309,15,8,23,0.023023023023023025
ACC_000007,9,13,22,0.022022022022022022
ACC_000992,11,15,26,0.026026026026026026
ACC_000327,8,9,17,0.017017017017017015
ACC_000559,10,12,22,0.022022022022022022
ACC_000215,10,9,19,0.01901901901901902
ACC_000809,7,12,19,0.01901901901901902
ACC_000387,14,13,27,0.02702702702702703
ACC_000548,9,16,25,0.025025025025025023
ACC_000550,6,7,13,0.013013013013013013
ACC_000609,13,5,18,0.018018018018018018
ACC_000171,11,18,29,0.029029029029029027
ACC_000101,8,12,20,0.01901901901901902
ACC_000265,10,13,23,0.022022022022022022
ACC_000791,11,11,22,0.022022022022022022
ACC_000467,7,7,14,0.014014014014014014
ACC_000714,15,10,25,0.025025025025025023
ACC_000728,9,6,15,0.015015015015015015
ACC_000169,9,10,19,0.01901901901901902
ACC_000953,15,8,23,0.023023023023023025
ACC_000982,12,11,23,0.023023023023023025
ACC_000203,14,9,23,0.023023023023023025
ACC_000771,12,5,17,0.017017017017017015
ACC_000202,6,9,15,0.015015015015015015
ACC_000469,7,5,12,0.012012012012012012
ACC_000990,9,12,21,0.02102102102102102
ACC_000655,16,10,26,0.026026026026026026
ACC_000357,14,13,27,0.026026026026026026
ACC_000941,11,15,26,0.025025025025025023
ACC_000711,8,16,24,0.024024024024024024
ACC_000323,8,6,14,0.014014014014014014
ACC_000863,12,15,27,0.02702702702702703
ACC_000861,9,7,16,0.016016016016016016
ACC_000173,14,11,25,0.025025025025025023
ACC_000117,6,10,16,0.016016016016016016
ACC_000436,12,14,26,0.026026026026026026
ACC_000212,9,9,18,0.018018018018018018
ACC_000976,10,9,19,0.01901901901901902
ACC_000888,12,7,19,0.01901901901901902
ACC_000672,11,8,19,0.01901901901901902
ACC_000466,11,14,25,0.025025025025025023
ACC_000974,7,14,21,0.02102102102102102
ACC_000751,5,6,11,0.011011011011011011
ACC_000065,7,9,16,0.016016016016016016
ACC_000331,12,13,25,0.025025025025025023
ACC_000873,7,10,17,0.017017017017017015
ACC_000497,8,10,18,0.018018018018018018
ACC_000439,11,14,25,0.025025025025025023
ACC_000681,11,9,20,0.02002002002002002
ACC_000697,12,7,19,0.01901901901901902
ACC_000456,16,8,24,0.024024024024024024
ACC_000881,13,10,23,0.023023023023023025
ACC_000749,7,11,18,0.018018018018018018
ACC_000141,10,8,18,0.018018018018018018
ACC_000625,14,13,27,0.02702702702702703
ACC_000767,17,10,27,0.02702702702702703
ACC_000623,3,8,11,0.011011011011011011
ACC_000194,11,7,18,0.018018018018018018
ACC_000813,10,13,23,0.022022022022022022
ACC_000978,10,9,19,0.01901901901901902
ACC_000041,11,13,24,0.024024024024024024
ACC_000514,8,7,15,0.015015015015015015
ACC_000786,9,6,15,0.015015015015015015
ACC_000209,5,7,12,0.012012012012012012
ACC_000719,10,8,18,0.017017017017017015
ACC_000843,6,9,15,0.015015015015015015
