source_account_id,transaction_count,total_transaction_amount,average_transaction_amount,max_transaction_amount,min_transaction_amount,transaction_amount_std,suspicious_transaction_count
ACC_000041,13,201635.94999999998,15510.457692307691,58922.1,1236.02,15687.42323935916,0
ACC_000042,9,100414.03,11157.114444444444,33660.54,1312.95,10493.401669687613,0
ACC_000043,10,274223.87,27422.387,93361.98,1442.4,34905.5547997676,1
ACC_000044,11,113676.59,10334.235454545455,20820.38,576.23,6088.619061232791,0
ACC_000045,12,115329.68,9610.806666666665,28367.32,2805.6,7752.528657474908,0
ACC_000046,7,116880.66,16697.237142857142,60580.28,441.82,21128.43522007306,0
ACC_000047,11,4470546.33,406413.30272727273,4358174.02,2459.45,1310679.6298658785,1
ACC_000048,6,59985.13,9997.521666666666,19104.8,2355.4,6885.55475990836,1
ACC_000049,14,220303.9,15735.992857142857,135232.26,165.75,35020.700151898396,0
ACC_000050,11,1202145.71,109285.97363636363,1015318.81,3291.62,301353.95893443644,1
ACC_000051,12,343563.32,28630.27666666667,100262.76,1728.27,34558.874574311936,2
ACC_000052,14,210629.66,15044.975714285714,90422.23,2074.01,22982.967021741497,0
ACC_000053,10,255579.7,25557.97,129249.45,3609.96,38970.261209975084,0
ACC_000054,6,472817.74999999994,78802.95833333333,373894.55,1821.41,146088.49750451723,0
ACC_000055,4,115258.96999999999,28814.742499999997,83340.9,3815.98,37592.16197888275,0
ACC_000056,7,56102.450000000004,8014.635714285715,28551.46,435.99,10709.387259392042,0
ACC_000057,14,708661.51,50618.67928571429,407894.22,1512.8,104799.56146422203,2
ACC_000058,6,300993.69,50165.615,175010.9,3823.42,62885.35751697648,1
ACC_000059,6,70622.5,11770.416666666666,19216.4,3201.75,6444.858119830619,0
ACC_000060,11,402051.27,36550.115454545456,132796.25,4196.8,41086.1149165295,1
ACC_000061,9,211914.24,23546.026666666665,68226.55,1195.54,24351.628936754416,0
ACC_000062,13,476811.49,36677.806923076925,333687.2,853.88,90614.39113872158,0
ACC_000063,10,160528.11000000002,16052.811000000002,48827.67,753.58,14875.198237005448,0
ACC_000064,12,794616.7,66218.05833333333,287358.34,1731.6,86617.60839333871,3
ACC_000065,9,164185.65,18242.85,67366.06,1481.08,26320.78074581755,0
ACC_000066,7,86999.1,12428.442857142858,30229.79,2174.46,9583.231211057704,0
ACC_000067,6,146026.74,24337.789999999997,54820.74,1247.23,21518.994809484015,0
ACC_000068,10,322454.23,32245.423,109079.2,1112.24,34451.93161823266,1
ACC_000069,12,187598.1,15633.175000000001,55957.71,899.63,17122.542371711203,0
ACC_000070,8,120896.3,15112.0375,33367.18,4715.5,10155.86661748167,0
ACC_000071,10,131544.79,13154.479000000001,38226.89,1256.84,13364.794164614774,0
ACC_000072,8,206648.79,25831.09875,109772.27,5950.01,34666.24154792359,0
ACC_000073,9,163955.25,18217.25,43252.94,3284.85,14639.945314751862,1
ACC_000074,14,193202.46,13800.175714285713,114435.06,470.6,29366.74176075973,0
ACC_000075,10,213029.11,21302.911,98636.08,2526.84,29175.524055194488,0
ACC_000076,7,360756.07,51536.58142857143,339589.31,1328.97,127044.0309496577,0
ACC_000077,12,294612.71,24551.05916666667,99891.26,1093.04,30656.3243447839,1
ACC_000078,9,99421.66,11046.851111111111,33735.84,1051.53,9885.127315765138,0
ACC_000079,8,79540.44,9942.555,36649.05,1040.86,11767.324939522758,0
ACC_000080,13,188488.08000000002,14499.083076923078,69916.24,1609.79,18749.637268004408,0
ACC_000081,14,247146.96,17653.354285714286,64310.09,1515.44,16786.394040782285,0
ACC_000082,7,312544.35,44649.19285714285,143511.84,547.46,50156.58988264809,1
ACC_000083,6,137203.89,22867.315000000002,89977.19,3877.82,33295.66190578391,0
ACC_000084,5,46810.7,9362.14,15671.83,1961.81,5866.29547759913,0
ACC_000085,14,149467.13,10676.223571428573,30515.7,964.14,9663.358210051958,0
ACC_000086,12,299090.06,24924.171666666665,72016.65,1399.38,24415.56321008714,0
ACC_000087,11,291382.75,26489.340909090908,161235.42,2170.83,46262.19103186001,0
ACC_000088,4,215769.5,53942.375,112257.07,10161.46,42520.22281828142,0
ACC_000089,6,35052.58,5842.096666666667,13079.36,466.79,5363.427466568992,0
ACC_000090,5,19605.5,3921.1,7503.36,392.79,3369.545996896318,0
ACC_000091,12,172154.06,14346.171666666667,40310.32,500.51,14850.56933215132,0
ACC_000092,15,369992.65,24666.17666666667,180203.84,1271.38,47250.851488716755,2
ACC_000093,6,53598.009999999995,8933.001666666665,20181.01,3050.89,8220.456279765538,1
ACC_000094,4,80278.42,20069.605,50928.59,4658.64,21342.97242598993,1
ACC_000095,7,120000.39,17142.912857142856,60577.06,2152.03,20774.19514651347,0
ACC_000096,13,254430.53,19571.57923076923,60357.27,5055.8,16051.056365249746,1
ACC_000097,11,69311.41,6301.037272727273,12061.39,1208.32,3349.892981287883,1
ACC_000098,18,455956.04,25330.89111111111,338372.37,794.76,78342.23134643197,0
ACC_000099,14,581008.73,41500.62357142857,269202.68,702.22,75792.60392051715,1
ACC_000100,12,216778.49,18064.874166666665,80879.12,722.79,22361.380016706746,0
ACC_000101,12,262151.76,21845.98,116138.22,1518.47,31839.67895258054,1
ACC_000102,6,69237.66,11539.61,25932.26,2269.41,8233.221087552549,0
ACC_000103,9,82820.92,9202.324444444444,39035.64,1284.28,11751.999301654072,0
ACC_000104,11,120950.39,10995.49,26435.94,1177.1,8205.97945087605,0
ACC_000105,17,212305.63,12488.566470588235,58128.9,406.7,16312.275329667738,0
ACC_000106,8,47614.52,5951.815,15182.03,399.12,4597.378275598263,0
ACC_000107,11,141967.91,12906.173636363637,32854.17,2094.95,11675.492365976925,0
ACC_000108,3,10059.21,3353.0699999999997,5101.0,1712.47,1696.8128025507115,0
ACC_000109,10,177831.98,17783.198,99340.02,949.89,29432.22734863636,1
ACC_000110,19,294312.31,15490.121578947368,71320.44,316.12,20084.556487073805,0
ACC_000111,11,147653.23,13423.02090909091,66244.73,540.8,19391.686029732668,0
ACC_000112,2,4457.86,2228.93,3016.22,1441.64,1113.3961955207137,0
ACC_000113,11,197937.19999999998,17994.29090909091,107755.45,1818.59,30257.60092025587,0
ACC_000114,12,129638.37,10803.1975,44220.0,821.09,12998.596046673743,0
ACC_000115,13,437238.25999999995,33633.7123076923,210844.8,1372.88,56160.92781819449,2
ACC_000116,8,85350.20000000001,10668.775000000001,41321.72,2644.55,12707.880468701302,0
ACC_000117,10,170227.99,17022.799,56130.92,3129.26,18394.804304606987,1
ACC_000118,9,962975.52,106997.28,825114.78,1637.27,269509.24645918433,0
ACC_000119,10,179128.44,17912.844,79020.67,515.21,22286.060533346947,1
ACC_000120,12,125723.34,10476.945,35714.49,890.41,11101.573431077644,0
ACC_000121,15,392751.96,26183.464,194835.95,1678.74,51539.13106571741,2
ACC_000122,10,139405.46,13940.545999999998,34468.83,2732.91,11755.332399255334,0
ACC_000123,6,91734.94,15289.156666666668,28775.17,2521.49,9096.4854934852,0
ACC_000124,12,139842.0,11653.5,47660.03,1886.04,12558.760382503015,0
ACC_000125,7,537391.23,76770.17571428571,443656.31,1494.13,162797.37123440608,2
ACC_000126,11,329250.24,29931.84,149504.39,1818.81,43905.67146737606,2
ACC_000127,10,203312.9,20331.29,83469.34,666.26,27769.168780919605,0
ACC_000128,11,300731.85,27339.25909090909,138814.98,766.12,41165.31404984115,0
ACC_000129,7,189847.49,27121.07,124555.14,1315.78,45082.30217260427,1
ACC_000130,17,606708.74,35688.74941176471,421695.41,689.4,100161.02367906891,1
ACC_000131,9,132537.57,14726.396666666667,52974.84,835.19,17092.737838840356,0
ACC_000132,12,245684.87000000002,20473.73916666667,65764.38,1392.66,20448.774564182862,1
ACC_000133,6,44817.45,7469.575,9825.93,3056.25,2439.66116370901,0
ACC_000134,5,309552.58,61910.516,240581.26,81.13,101121.85698062279,1
ACC_000135,12,244799.43,20399.9525,127103.16,1428.25,35464.35759643095,1
ACC_000136,9,140426.27,15602.918888888888,60581.57,5910.77,17052.560026978677,0
ACC_000137,16,330440.52,20652.5325,94823.69,1766.67,23697.726633806742,0
ACC_000138,12,187068.35,15589.029166666667,52312.6,2022.93,15446.411951204047,0
ACC_000139,9,45273.06,5030.34,11547.62,463.06,3530.6945955576507,0
ACC_000140,10,189579.1,18957.91,40178.01,824.18,16137.301502605007,0
ACC_000141,8,170090.53,21261.31625,67961.86,5273.05,22298.088659617657,0
ACC_000142,16,337506.17,21094.135625,114866.6,673.13,27036.522696587042,0
ACC_000143,10,131422.62,13142.261999999999,38339.98,1422.86,12000.363562167422,1
ACC_000144,14,657340.23,46952.87357142857,389164.27,546.61,102480.91646047628,2
ACC_000145,7,104437.75,14919.67857142857,46362.25,1611.34,19169.29706092482,0
ACC_000146,19,390736.39,20565.073157894738,90481.51,995.09,26002.080857512377,2
ACC_000147,7,183121.43,26160.204285714284,97626.01,2370.78,33244.86950003707,0
ACC_000148,4,51248.56,12812.14,28398.91,2430.55,11042.501355164057,0
ACC_000149,12,310137.49,25844.790833333333,95592.75,1898.14,29561.238626890346,0
ACC_000150,9,99885.28,11098.364444444444,38329.79,336.23,12075.465204503626,0
ACC_000151,7,257706.78999999998,36815.25571428571,187586.83,2719.98,66929.78309809015,1
ACC_000152,12,226574.02,18881.16833333333,108887.15,961.51,31298.908612881474,0
ACC_000153,11,179769.18,16342.652727272727,81009.98,633.47,27100.00936680727,0
ACC_000154,8,250547.44,31318.43,123014.32,3808.29,39892.14354274679,1
ACC_000155,10,204710.77,20471.076999999997,127858.28,1044.37,38716.2806436282,0
ACC_000156,11,159777.05,14525.186363636363,42269.9,1641.92,12215.654389615214,1
ACC_000157,8,204395.21,25549.40125,87310.15,1482.6,30337.947718148273,1
ACC_000158,17,408298.20999999996,24017.54176470588,119596.66,628.49,35795.73170698852,1
ACC_000159,11,193316.52,17574.22909090909,98059.83,3127.06,27309.092692356317,0
ACC_000160,12,251057.24,20921.436666666665,146387.43,1314.36,40321.44950888531,1
ACC_000161,10,3116146.8099999996,311614.681,2190027.61,4106.5,670526.6677057039,3
ACC_000162,5,150189.94999999998,30037.989999999998,119266.04,3224.85,50161.09594267105,0
ACC_000163,10,84085.87,8408.587,26230.22,409.12,7816.107196795673,0
ACC_000164,8,255892.15999999997,31986.519999999997,123861.79,4208.03,38390.98552238049,0
ACC_000165,10,156726.61000000002,15672.661000000002,38379.38,681.24,12254.91381633728,0
ACC_000166,11,416435.93,37857.81181818182,146137.56,1743.16,49881.16084347012,1
ACC_000167,4,25080.38,6270.095,15183.86,2992.65,5949.560492027961,0
ACC_000168,8,103262.14,12907.7675,33378.6,2591.32,12448.094211653157,0
ACC_000169,10,464654.44999999995,46465.44499999999,325320.64,440.68,99189.86161141451,2
ACC_000170,5,56461.31,11292.261999999999,24249.92,1641.15,9922.501732195364,0
ACC_000171,18,251293.34,13960.74111111111,58031.28,701.29,16964.20947712666,0
ACC_000172,6,30667.38,5111.2300000000005,15922.0,1450.17,5517.063217904975,0
ACC_000173,11,118394.66,10763.15090909091,45004.25,1160.95,12617.716893477562,0
ACC_000174,6,103928.14,17321.356666666667,44504.55,3492.78,18460.481327911973,0
ACC_000175,15,590061.72,39337.448,221075.88,858.38,74669.23813889007,1
ACC_000176,5,119457.23,23891.446,59235.19,854.17,22355.93747835304,1
ACC_000177,12,189097.57,15758.130833333335,87592.0,1642.1,23564.142973780177,0
ACC_000178,11,132325.47,12029.588181818182,21026.11,3373.01,5028.23491426329,0
ACC_000179,9,98465.61,10940.623333333333,25541.06,1317.38,9854.711478593628,0
ACC_000180,11,114456.55,10405.14090909091,31679.65,862.02,11156.99701003048,0
ACC_000181,9,392172.12,43574.68,183246.49,1088.47,63135.95145745627,0
ACC_000182,10,100092.95,10009.295,33843.86,2758.29,10933.338395231807,0
ACC_000183,13,1108571.58,85274.73692307693,911718.36,393.1,249588.91851720633,1
ACC_000184,14,723793.9,51699.56428571429,645901.96,609.27,171105.51541511153,1
ACC_000185,8,224964.32,28120.54,69860.36,889.76,30379.03049400171,0
ACC_000186,11,63329.26,5757.205454545455,21920.74,107.63,5693.993768695859,0
ACC_000187,14,217986.66,15570.475714285714,57762.09,713.34,19171.776143037696,1
ACC_000188,9,141768.02000000002,15752.002222222225,45268.21,1562.29,14746.304878730449,0
ACC_000189,11,276861.13999999996,25169.194545454542,139993.33,1933.28,39693.04049013135,2
ACC_000190,9,112409.34,12489.926666666666,23824.82,1451.3,9344.15614866051,1
ACC_000191,19,838663.77,44140.198421052635,409061.05,776.26,94724.63461021915,3
ACC_000192,13,179967.54,13843.656923076924,56932.07,1746.14,15518.981570914688,0
ACC_000193,10,104510.11,10451.011,31953.4,1625.67,9203.064368710686,1
ACC_000194,7,177255.15,25322.164285714283,102929.76,314.49,35580.75871834891,1
ACC_000195,10,161959.78,16195.978,41697.44,1830.77,14644.778100561456,2
ACC_000196,15,164576.69,10971.779333333334,77530.71,1789.68,19411.83728484484,0
ACC_000197,6,74943.18999999999,12490.531666666664,33063.07,2535.1,12148.43109779599,1
ACC_000198,9,88908.34,9878.704444444444,31932.75,1027.32,11941.187611522471,1
ACC_000199,13,123221.59,9478.583846153846,21173.2,1927.26,6399.5984025881635,0
ACC_000200,11,103549.07,9413.551818181819,34469.94,930.17,10436.7323809158,0
ACC_000201,10,162025.87,16202.587,47953.93,1631.77,14970.249092593283,2
ACC_000202,10,1321188.92,132118.892,948116.21,2445.57,295930.44102600473,2
ACC_000203,9,97934.03,10881.558888888889,24955.28,1920.48,7261.46417545636,1
ACC_000204,9,112183.28,12464.808888888889,39773.49,1470.44,12529.127139024335,0
ACC_000205,8,82079.69,10259.96125,42228.4,1724.38,13390.66322316245,0
ACC_000206,8,109425.93,13678.24125,37576.04,6050.57,10580.641682811165,0
ACC_000207,7,246648.69,35235.52714285714,174923.05,2020.5,62327.63823993004,0
ACC_000208,6,44226.590000000004,7371.098333333334,20393.33,989.45,7675.7447052189455,0
ACC_000209,7,208482.8,29783.257142857143,160263.86,534.18,57905.591774697285,1
ACC_000210,6,90673.9,15112.316666666666,34581.59,754.56,14711.010565970872,0
ACC_000211,7,52842.22,7548.888571428572,22367.01,1559.18,7158.343640932653,0
ACC_000212,9,91701.39,10189.043333333333,39119.66,1924.74,11257.625488211313,0
ACC_000213,9,171311.59999999998,19034.62222222222,101661.15,2760.85,31337.030386950268,1
ACC_000214,10,160209.86000000002,16020.986,35864.41,961.52,13418.676423954124,1
ACC_000215,9,108568.32,12063.146666666667,42054.66,2462.44,12803.622509125104,0
ACC_000216,7,71919.48000000001,10274.21142857143,36838.76,1253.32,12838.18764952103,0
ACC_000217,13,184388.89,14183.76076923077,49221.11,939.39,15298.022698294739,0
ACC_000218,7,80505.51000000001,11500.787142857143,31028.88,2087.57,11704.827229796707,0
ACC_000219,18,561727.56,31207.08666666667,325211.96,1805.63,74738.45578627834,1
ACC_000220,9,81681.39,9075.71,23872.4,1540.7,6584.1955580712365,0
ACC_000221,13,208308.21,16023.708461538461,47855.1,2025.27,15210.008889736524,0
ACC_000222,10,185772.47,18577.247,124366.8,731.7,37859.22104436119,0
ACC_000223,10,189155.18,18915.518,94698.17,240.97,32407.054268128377,0
ACC_000224,9,80603.08,8955.897777777778,37395.82,1631.03,11459.938278756978,0
ACC_000225,13,317282.14,24406.318461538463,108947.97,881.91,33969.37533033733,0
ACC_000226,14,758474.06,54176.71857142857,433175.46,521.69,122582.89984036899,1
ACC_000227,9,118157.56,13128.617777777778,34440.28,3042.82,10604.791515344346,0
ACC_000228,5,45621.31,9124.261999999999,14784.18,6070.53,3497.2086806937905,0
ACC_000229,8,615022.58,76877.8225,550208.71,2763.79,191358.35091922953,2
ACC_000230,8,77841.20999999999,9730.151249999999,21844.05,636.44,7465.380448750346,0
ACC_000231,11,139537.29,12685.208181818183,29144.15,765.38,10535.547956518274,0
ACC_000232,8,332789.65,41598.70625,252269.8,1195.94,86393.28697582071,0
ACC_000233,10,189930.37,18993.037,79101.09,3155.22,28747.29758833034,0
ACC_000234,8,51762.0,6470.25,20012.27,1033.56,6355.715075534101,0
ACC_000235,8,50836.16,6354.52,15789.96,1956.99,4837.150121929824,0
ACC_000236,7,286248.91000000003,40892.70142857143,142990.23,3088.96,49748.64082095692,0
ACC_000237,13,225341.15,17333.934615384616,53923.71,672.12,16063.773527027417,2
ACC_000238,5,79436.9,15887.38,66607.39,1191.37,28383.021968004923,0
ACC_000239,15,536653.62,35776.908,297781.7,1063.45,79911.32000496454,2
ACC_000240,8,184502.41999999998,23062.802499999998,85223.43,845.75,28841.14260419838,1
ACC_000241,8,130593.29999999999,16324.162499999999,81759.97,1259.1,27502.92362262017,0
ACC_000242,10,187556.12,18755.612,41448.28,2904.12,14071.375182584758,1
ACC_000243,6,94604.9,15767.483333333332,34447.56,1604.03,12173.96202696668,0
ACC_000244,11,181983.82,16543.98363636364,64797.22,1152.69,20035.698057421047,0
ACC_000245,15,224340.62999999998,14956.041999999998,83009.87,1327.87,20571.470556590262,0
ACC_000246,10,134726.74,13472.673999999999,37134.43,544.94,12481.824493862352,0
ACC_000247,12,671170.15,55930.84583333333,524005.79,2214.37,148594.8087622301,2
ACC_000248,12,404921.75,33743.479166666664,155731.79,1765.04,56967.820290045165,1
ACC_000249,9,211682.16999999998,23520.24111111111,69204.12,2348.75,22037.53402690875,0
ACC_000250,10,160277.61,16027.760999999999,51188.67,810.36,14959.282117816756,0
ACC_000251,13,120499.49,9269.191538461539,56300.06,511.95,15293.304525394353,0
ACC_000252,11,2851501.69,259227.42636363636,2668718.17,1250.95,799226.978864247,2
ACC_000253,12,362920.45,30243.370833333334,209483.02,1437.73,58569.79823402353,1
ACC_000254,13,816752.62,62827.124615384615,610650.76,1659.27,165358.80098373618,2
ACC_000255,15,215958.35,14397.223333333333,36827.34,1373.29,11531.709353960043,2
ACC_000256,4,112510.20999999999,28127.552499999998,90646.67,3421.76,41786.58423810954,1
ACC_000257,10,197274.82,19727.482,66425.33,269.08,22409.92338504272,0
ACC_000258,7,114668.9,16381.271428571428,70909.31,767.05,24641.23335528982,0
ACC_000259,9,106368.22,11818.691111111111,37396.35,1343.54,12976.140810803923,0
ACC_000260,6,160654.97999999998,26775.829999999998,35453.9,7241.88,10083.868042714563,0
ACC_000261,11,511486.38,46498.76181818182,318288.0,611.26,95635.94552650492,2
ACC_000262,8,301013.13,37626.64125,130299.42,1420.25,42659.32338369302,1
ACC_000263,8,83199.45,10399.93125,48592.59,1393.9,15670.909116697216,0
ACC_000264,11,250860.39,22805.49,124839.07,728.55,35626.27071034351,1
ACC_000265,13,85933.45,6610.265384615384,27794.16,1302.03,6906.383417297864,0
ACC_000266,10,98825.81,9882.581,17726.15,1880.44,6249.81885685844,0
ACC_000267,7,87671.85,12524.550000000001,25280.07,2602.46,8576.737808160708,0
ACC_000268,9,70239.79000000001,7804.421111111112,20763.99,2238.97,7001.292740136361,0
ACC_000269,12,130780.41,10898.3675,31198.11,1152.11,11145.6410880317,0
ACC_000270,8,210123.6,26265.45,61393.4,5931.05,20706.64653000715,0
ACC_000271,9,273876.71,30430.745555555557,163822.48,1712.84,50788.85798175992,0
ACC_000272,14,2180169.4499999997,155726.38928571428,2048450.22,1612.59,544818.01584412,1
ACC_000273,12,219592.18,18299.34833333333,74483.33,2088.46,22272.59314524624,0
ACC_000274,11,234470.25,21315.477272727272,66351.69,582.16,23239.0190430539,0
ACC_000275,9,561018.41,62335.378888888896,477883.71,1052.19,155988.2780299464,1
ACC_000276,18,667558.39,37086.57722222222,242849.9,611.86,61026.121442262716,2
ACC_000277,10,245379.77,24537.977,102887.12,3945.9,29524.78421889652,1
ACC_000278,12,116672.37,9722.6975,39933.99,1341.01,10578.14541728638,0
ACC_000279,7,115891.89,16555.984285714287,36302.89,1234.49,12306.322409346962,0
ACC_000280,13,467958.97000000003,35996.843846153846,256925.35,1841.96,67959.03675463975,1
ACC_000281,9,194700.61,21633.40111111111,85118.93,5709.16,25938.99455473286,0
ACC_000282,8,91451.84,11431.48,28642.69,1601.52,10203.394863835412,0
ACC_000283,11,330289.24,30026.294545454544,172613.74,1171.59,49219.65485189517,0
ACC_000284,11,134391.28,12217.389090909091,27679.61,806.48,8874.470210014179,0
ACC_000285,14,195651.75,13975.125,34003.3,4399.49,10964.091787888421,0
ACC_000286,14,185096.65,13221.189285714285,74812.02,635.09,19309.814237360657,0
ACC_000287,11,589021.71,53547.42818181818,439986.66,797.53,129543.78790517057,1
ACC_000288,10,54878.1,5487.8099999999995,13329.4,1202.11,4344.386641208527,0
ACC_000289,16,358965.79,22435.361875,94987.1,1251.43,27140.291148661425,1
ACC_000290,11,217933.94,19812.176363636365,84701.06,258.08,26172.46397086383,2
ACC_000291,10,66753.76,6675.375999999999,14659.39,1745.0,3973.5781404930804,0
ACC_000292,12,209282.86000000002,17440.238333333335,78853.58,504.29,24542.022953937165,0
ACC_000293,7,204135.40000000002,29162.200000000004,114901.07,3961.22,40421.726705457964,0
ACC_000294,10,123786.41,12378.641,30560.94,2763.07,10229.415511281886,0
ACC_000295,4,35320.52,8830.13,19571.96,1686.93,8295.446048393058,0
ACC_000296,4,15348.960000000001,3837.2400000000002,5818.85,2899.76,1371.5536120521624,0
ACC_000297,13,210472.17,16190.166923076924,95311.99,605.73,25442.051146631693,0
ACC_000298,10,449678.75000000006,44967.87500000001,274522.77,1144.21,83652.37247511584,0
ACC_000299,9,129847.66,14427.517777777779,45816.72,1497.41,17326.659434292127,0
ACC_000300,7,95952.14,13707.448571428571,56658.75,674.14,20012.28204933946,1
ACC_000301,7,262722.96,37531.851428571434,131194.88,4439.59,45730.20519952847,1
ACC_000302,8,117763.02,14720.3775,36180.3,2099.41,12389.297349911967,0
ACC_000303,9,188714.65,20968.294444444444,81181.36,1894.28,27081.057081235824,1
ACC_000304,9,242582.65000000002,26953.62777777778,158928.54,2178.97,49974.2419331236,2
ACC_000305,11,184794.33,16799.484545454543,57696.82,2713.68,16870.10688225262,0
ACC_000306,8,140331.11000000002,17541.388750000002,32730.13,3031.27,9334.21126744965,0
ACC_000307,7,122452.87999999999,17493.26857142857,84449.67,631.01,29945.95248313781,0
ACC_000308,12,184701.07,15391.755833333335,53995.11,892.28,18208.095788049617,0
ACC_000309,8,60006.12,7500.765,24874.18,1221.22,8103.977064517679,0
ACC_000310,12,156998.3,13083.191666666666,39626.88,1497.9,12512.269454135325,1
ACC_000311,12,174629.96000000002,14552.496666666668,37415.86,165.7,13793.192195889664,0
ACC_000312,8,373860.19,46732.52375,160140.66,2241.56,50682.534133890156,1
ACC_000313,10,346154.94,34615.494,168100.77,1831.83,50593.157416337584,0
ACC_000314,16,484297.24,30268.5775,242418.38,925.23,59839.97928437772,3
ACC_000315,10,231771.29,23177.129,78208.57,2917.79,22432.820946197684,1
ACC_000316,14,310211.06,22157.932857142856,83952.9,722.07,27514.020203297874,1
ACC_000317,12,118016.59,9834.715833333334,57339.52,1183.39,15402.990840719247,1
ACC_000318,11,189504.47,17227.679090909092,58535.66,982.55,20180.65218516808,1
ACC_000319,11,102939.78,9358.161818181818,28867.57,906.16,11014.835791518472,0
ACC_000320,16,243324.58999999997,15207.786874999998,76518.62,1047.61,19979.87311334775,0
ACC_000321,11,166866.75,15169.704545454546,62625.17,2298.08,16746.23842038227,0
ACC_000322,10,62654.31,6265.431,24982.74,1387.71,7110.378003602982,0
ACC_000323,6,85080.29000000001,14180.048333333334,40242.73,764.73,14165.127659422511,0
ACC_000324,8,90936.49,11367.06125,29641.68,3500.65,8412.209622495893,0
ACC_000325,8,144494.55,18061.81875,71690.01,2694.58,22445.390257388477,0
ACC_000326,7,191512.14,27358.877142857145,138481.13,2506.08,49409.43922221972,0
ACC_000327,9,206464.13999999998,22940.46,66567.78,752.2,20822.11427287104,2
ACC_000328,10,443963.64,44396.364,268822.95,2077.65,81311.96998964615,1
ACC_000329,24,294204.83999999997,12258.534999999998,88420.93,594.38,19496.89089068016,1
ACC_000330,12,191826.75999999998,15985.563333333332,70734.54,768.81,19326.801257659758,1
ACC_000331,13,92219.3,7093.792307692308,25432.01,280.82,6746.579954532708,0
ACC_000332,11,202018.72,18365.33818181818,38893.07,265.06,14667.288147470766,0
ACC_000333,9,211361.03999999998,23484.559999999998,81488.42,2853.79,23442.480777117533,0
ACC_000334,11,131897.07,11990.642727272729,37624.94,1179.08,13751.617130136434,0
